first_fighter,second_fighter,result_1,result_2,date
Royce-Gracie,Gerard-Gordeau,Win,Loss,1993-11-13
Royce-Gracie,Ken-Shamrock,Win,Loss,1993-11-13
Gerard-Gordeau,Kevin-Rosier,Win,Loss,1993-11-13
Royce-Gracie,Art-Jimmerson,Win,Loss,1993-11-13
Gerard-Gordeau,Teila-Tuli,Win,Loss,1993-11-13
Ken-Shamrock,Patrick-Smith,Win,Loss,1993-11-13
Kevin-Rosier,Zane-Frazier,Win,Loss,1993-11-13
Jason-DeLucia,Trent-Jenkins,Win,Loss,1993-11-13
Royce-Gracie,Patrick-Smith,Win,Loss,1994-03-12
Royce-Gracie,Remco-Pardoel,Win,Loss,1994-03-12
Patrick-Smith,Johnny-Rhodes,Win,Loss,1994-03-12
Royce-Gracie,Jason-DeLucia,Win,Loss,1994-03-12
Patrick-Smith,Scott-Morris,Win,Loss,1994-03-12
Johnny-Rhodes,Fred-Ettish,Win,Loss,1994-03-12
Remco-Pardoel,Orlando-Welt,Win,Loss,1994-03-12
Royce-Gracie,Minoki-Ichihara,Win,Loss,1994-03-12
Patrick-Smith,Ray-Wizard,Win,Loss,1994-03-12
Johnny-Rhodes,David-Levicki,Win,Loss,1994-03-12
Remco-Pardoel,Alberto Cerro-Leon,Win,Loss,1994-03-12
Scott-Morris,Sean-Daughtery,Win,Loss,1994-03-12
Frank-Hamaker,Thaddeus-Luster,Win,Loss,1994-03-12
Orlando-Welt,Robert-Lucarelli,Win,Loss,1994-03-12
Jason-DeLucia,Scott-Baker,Win,Loss,1994-03-12
Steve-Jennum,,Win,,1994-09-10
Kimo-Leopoldo,Royce-Gracie,,,1994-09-10
Ken-Shamrock,Felix Lee-Mitchell,Win,Loss,1994-09-10
Royce-Gracie,Kimo-Leopoldo,Win,Loss,1994-09-10
,Roland-Payne,,Loss,1994-09-10
Ken-Shamrock,Christophe-Leininger,Win,Loss,1994-09-10
Keith-Hackney,Emmanuel-Yarbrough,Win,Loss,1994-09-10
Royce-Gracie,Dan-Severn,Win,Loss,1994-12-17
Royce-Gracie,Keith-Hackney,Win,Loss,1994-12-17
Dan-Severn,Marcus-Bossett,Win,Loss,1994-12-17
Royce-Gracie,Ron-Van Clief,Win,Loss,1994-12-17
Keith-Hackney,Joe-Son,Win,Loss,1994-12-17
Steve-Jennum,Melton-Bowen,Win,Loss,1994-12-17
Dan-Severn,Anthony-Macias,Win,Loss,1994-12-17
Marcus-Bossett,Eldo Dias-Xavier,Win,,1994-12-17
Guy-Mezger,Jason-Fairn,Win,Loss,1994-12-17
Joe-Charles,Kevin-Rosier,Win,Loss,1994-12-17
Dan-Severn,Dave-Beneteau,Win,Loss,1995-04-08
Royce-Gracie,Ken-Shamrock,Draw,Draw,1995-04-08
Dan-Severn,Oleg-Taktarov,Win,Loss,1995-04-08
